m,n,DP_time,DP_ops,memo_time,memo_ops,non_memo_time,non_memo_ops,est_DP_time_complexity,DP_time_per_op,est_DC_time_complexity,DC_time_per_op
2.0,2.0,5.7220458984375e-06,4.0,6.9141387939453125e-06,13.0,4.0531158447265625e-06,19.0,1.1444091796875e-05,1.430511474609375e-06,6.9141387939453125e-06,5.318568303034856e-07
2.0,4.0,7.867813110351562e-06,8.0,8.821487426757812e-06,25.0,1.0013580322265625e-05,61.0,1.3768672943115234e-05,9.834766387939453e-07,8.821487426757812e-06,3.528594970703125e-07
2.0,8.0,1.0013580322265625e-05,16.0,1.4066696166992188e-05,49.0,3.933906555175781e-05,217.0,1.627206802368164e-05,6.258487701416016e-07,1.4066696166992188e-05,2.870754319794324e-07
2.0,16.0,1.4066696166992188e-05,32.0,2.3126602172851562e-05,97.0,0.0001437664031982422,817.0,2.1979212760925293e-05,4.3958425521850586e-07,2.3126602172851562e-05,2.384185791015625e-07
2.0,32.0,2.2172927856445312e-05,64.0,4.982948303222656e-05,193.0,0.0005171298980712891,3169.0,3.3952295780181885e-05,3.46451997756958e-07,4.982948303222656e-05,2.5818384990790967e-07
2.0,64.0,4.00543212890625e-05,128.0,8.511543273925781e-05,385.0,0.0020787715911865234,12481.0,6.070733070373535e-05,3.129243850708008e-07,8.511543273925781e-05,2.210790460759943e-07
4.0,2.0,7.867813110351562e-06,8.0,1.0013580322265625e-05,25.0,1.4066696166992188e-05,61.0,1.3768672943115234e-05,9.834766387939453e-07,1.0013580322265625e-05,4.00543212890625e-07
4.0,4.0,1.0013580322265625e-05,16.0,1.5974044799804688e-05,49.0,9.179115295410156e-05,481.0,1.5020370483398438e-05,6.258487701416016e-07,1.5974044799804688e-05,3.260009142817283e-07
4.0,8.0,1.5020370483398438e-05,32.0,2.7894973754882812e-05,97.0,0.0008912086486816406,5473.0,2.065300941467285e-05,4.6938657760620117e-07,2.7894973754882812e-05,2.875770490194104e-07
4.0,16.0,2.384185791015625e-05,64.0,5.412101745605469e-05,193.0,0.012423992156982422,75073.0,3.129243850708008e-05,3.725290298461914e-07,5.412101745605469e-05,2.804197795650502e-07
4.0,32.0,4.100799560546875e-05,128.0,0.000102996826171875,385.0,0.17427992820739746,1119361.0,5.2541494369506836e-05,3.203749656677246e-07,0.000102996826171875,2.6752422382305193e-07
4.0,64.0,7.295608520507812e-05,256.0,0.00020575523376464844,769.0,-,-,9.2335045337677e-05,2.849847078323364e-07,0.0002057552337646484,2.675620725157977e-07
8.0,2.0,1.2159347534179688e-05,16.0,1.4781951904296875e-05,49.0,3.910064697265625e-05,217.0,1.9758939743041992e-05,7.599592208862305e-07,1.4781951904296875e-05,3.016724878427934e-07
8.0,4.0,1.5020370483398438e-05,32.0,2.574920654296875e-05,97.0,0.0009541511535644531,5473.0,2.065300941467285e-05,4.6938657760620117e-07,2.574920654296875e-05,2.654557375563789e-07
8.0,8.0,2.5987625122070312e-05,64.0,5.0067901611328125e-05,193.0,0.06356406211853027,398593.0,3.248453140258789e-05,4.0605664253234863e-07,5.006790161132813e-05,2.5941917933330637e-07
8.0,16.0,4.1961669921875e-05,128.0,9.918212890625e-05,385.0,9.357276916503906,59235073.0,4.982948303222656e-05,3.2782554626464844e-07,9.918212890624999e-05,2.5761591923701297e-07
8.0,32.0,7.319450378417969e-05,256.0,0.0002040863037109375,769.0,-,-,8.463114500045776e-05,2.859160304069519e-07,0.0002040863037109375,2.653918123679291e-07
8.0,64.0,0.0001461505889892578,512.0,0.00034809112548828125,1537.0,-,-,0.0001667030155658722,2.8545036911964417e-07,0.00034809112548828125,2.2647438223050178e-07
16.0,2.0,1.71661376953125e-05,32.0,2.7179718017578125e-05,97.0,0.00014591217041015625,817.0,2.682209014892578e-05,5.364418029785156e-07,2.7179718017578125e-05,2.8020327853173326e-07
16.0,4.0,2.4080276489257812e-05,64.0,4.792213439941406e-05,193.0,0.012096166610717773,75073.0,3.160536289215088e-05,3.762543201446533e-07,4.7922134399414056e-05,2.4830121450473606e-07
16.0,8.0,4.482269287109375e-05,128.0,0.0001270771026611328,385.0,9.40895676612854,59235073.0,5.322694778442383e-05,3.501772880554199e-07,0.0001270771026611328,3.3007039652242287e-07
16.0,16.0,7.295608520507812e-05,256.0,0.00020194053649902344,769.0,-,-,8.207559585571289e-05,2.849847078323364e-07,0.00020194053649902344,2.626014778920981e-07
16.0,32.0,0.00014519691467285156,512.0,0.00038504600524902344,1537.0,-,-,0.0001588091254234314,2.835877239704132e-07,0.0003850460052490234,2.505178954125071e-07
16.0,64.0,0.00027298927307128906,1024.0,0.0007698535919189453,3073.0,-,-,0.0002943165600299835,2.665910869836807e-07,0.0007698535919189453,2.5052183271036293e-07
32.0,2.0,2.574920654296875e-05,64.0,4.482269287109375e-05,193.0,0.0005061626434326172,3169.0,3.94284725189209e-05,4.023313522338867e-07,4.482269287109375e-05,2.3224193197457902e-07
32.0,4.0,3.886222839355469e-05,128.0,9.822845458984375e-05,385.0,0.17846393585205078,1119361.0,4.979223012924194e-05,3.03611159324646e-07,9.822845458984374e-05,2.551388430905032e-07
32.0,8.0,7.700920104980469e-05,256.0,0.00020623207092285156,769.0,-,-,8.904188871383667e-05,3.0081719160079956e-07,0.0002062320709228516,2.681821468437602e-07
32.0,16.0,0.00015211105346679688,512.0,0.0004360675811767578,1537.0,-,-,0.00016637146472930908,2.9709190130233765e-07,0.0004360675811767578,2.8371345554766284e-07
